id,scrape_id,last_scraped,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,jurisdiction_names,instant_bookable
175576,2.01601E+13,04-01-2016,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,19-09-2010,"Seattle, Washington, United States",within a few hours,100%,100%,t,Queen Anne,1,1,"1st Ave W, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63548171,-122.3584778,House,Entire home/apt,2,1,1,1,Real Bed,,$95.00 ,$595.00 ,,,$15.00 ,2,$15.00 ,3,7,181,97,10,10,10,10,10,10,WASHINGTON,f
4454295,2.01601E+13,04-01-2016,Upper Queen Anne Craftsman House,4606439,Nadia,06-01-2013,"Seattle, Washington, United States",within a few hours,100%,100%,f,Queen Anne,1,1,"3rd Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63721408,-122.3600458,House,Entire home/apt,2,1,1,1,Real Bed,,$99.00 ,$800.00 ,"$2,000.00 ",$500.00 ,$150.00 ,1,$0.00 ,3,1125,8,97,10,10,9,10,10,9,WASHINGTON,f
3883392,2.01601E+13,04-01-2016,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,13-08-2014,"Seattle, Washington, United States",within an hour,100%,100%,t,,1,1,"West Howe Street, Seattle, WA 98119, United States",,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63554551,-122.3731708,Apartment,Entire home/apt,4,1,2,3,Real Bed,,$245.00 ,"$1,575.00 ","$5,800.00 ",$300.00 ,$95.00 ,1,$0.00 ,3,14,13,98,10,10,10,10,10,10,WASHINGTON,f
8889257,2.01601E+13,04-01-2016,Elegance in Historic Queen Anne,25899989,Ellie,10-01-2015,"Kirkland, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"West Prospect Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62950681,-122.3676293,House,Entire home/apt,5,1,2,3,Real Bed,,$165.00 ,,"$5,000.00 ",$400.00 ,$85.00 ,4,$20.00 ,2,1125,3,100,10,10,9,9,10,10,WASHINGTON,f
5680462,2.01601E+13,04-01-2016,Stunning 6 bd in THE BEST Location!,22372266,Sarah,10-10-2014,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63920266,-122.3658627,House,Entire home/apt,16,3.5,6,15,Real Bed,,$461.00 ,,,"$1,500.00 ",$300.00 ,8,$50.00 ,3,29,18,98,9,10,10,10,10,10,WASHINGTON,t
8988178,2.01601E+13,04-01-2016,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,18-07-2012,"Seattle, Washington, United States",within a few hours,100%,100%,f,,1,1,"12th Avenue West, Seattle, WA 98119, United States",,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63564979,-122.3728928,House,Entire home/apt,5,1,2,2,Real Bed,,$109.00 ,,,,$89.00 ,1,$0.00 ,3,15,1,80,8,10,8,8,8,8,WASHINGTON,f
3245876,2.01601E+13,04-01-2016,Park Life in Lower Queen Anne,9465817,Libby,16-10-2013,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"West Mercer Place, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62620037,-122.3666019,Apartment,Private room,2,1,1,1,Real Bed,,$66.00 ,,,$100.00 ,$35.00 ,1,$25.00 ,1,10,84,95,10,9,10,10,10,9,WASHINGTON,f
4933447,2.01601E+13,04-01-2016,"Private Garden Suite, Bay View",25417834,Markus And Melissa,31-12-2014,"Seattle, Washington, United States",within an hour,100%,100%,t,Queen Anne,1,1,"12th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.64064588,-122.3724059,House,Private room,2,1,1,1,Real Bed,,$99.00 ,,,$100.00 ,$15.00 ,1,$0.00 ,2,14,45,98,10,10,10,10,10,10,WASHINGTON,t
7735464,2.01601E+13,04-01-2016,Queen Anne Getaway Near Seattle!,6170760,Sam,30-04-2013,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"11th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63977587,-122.3722354,Apartment,Private room,2,2,1,1,Futon,,$200.00 ,,,,,1,$0.00 ,1,1125,0,,,,,,,,WASHINGTON,f
6291829,2.01601E+13,04-01-2016,Grand Craftsman Home on Queen Anne,32713558,Kary,05-05-2015,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63602478,-122.3586936,House,Entire home/apt,10,3.5,5,5,Real Bed,,$700.00 ,"$4,100.00 ",,$500.00 ,$250.00 ,1,$0.00 ,3,30,5,85,10,9,9,9,8,8,WASHINGTON,f
9218403,2.01601E+13,04-01-2016,Queen Anne View One Bedroom,14100483,Annie,09-04-2014,"Quilcene, Washington, United States",within a few hours,100%,100%,f,,1,1,"West Olympic Place, Seattle, WA 98119, United States",,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62794034,-122.3649587,Condominium,Entire home/apt,1,1,1,1,Real Bed,,$110.00 ,$750.00 ,"$2,500.00 ",,,1,$0.00 ,1,1125,1,100,10,10,10,10,10,10,WASHINGTON,f
4125779,2.01601E+13,04-01-2016,Cozy Queen Anne Finished Basement,21401856,Nick,16-09-2014,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,1,1,"2nd Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63637426,-122.3610334,House,Private room,3,1.5,1,2,Real Bed,,$99.00 ,$568.00 ,"$2,029.00 ",,$15.00 ,1,$10.00 ,1,1125,11,84,9,9,9,9,10,8,WASHINGTON,f
8942678,2.01601E+13,04-01-2016,Lovely Queen Anne home,46675077,Susanna,16-10-2015,"Seattle, Washington, United States",within a day,100%,100%,f,Queen Anne,1,1,"1st Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63563222,-122.3588809,House,Entire home/apt,8,2,4,4,Real Bed,,$450.00 ,"$3,000.00 ",,,,1,$0.00 ,4,1125,1,100,10,10,10,10,10,10,WASHINGTON,f
10106055,2.01601E+13,04-01-2016,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,20-12-2015,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"West Galer Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63339396,-122.3719199,House,Private room,2,1,1,1,Real Bed,,$75.00 ,$350.00 ,,,,1,$0.00 ,1,1125,0,,,,,,,,WASHINGTON,f
6362362,2.01601E+13,04-01-2016,Charming home on Queen Anne,33147763,Tracy,11-05-2015,"Seattle, Washington, United States",N/A,N/A,N/A,f,Queen Anne,1,1,"10th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63851671,-122.369581,House,Entire home/apt,5,2.5,3,3,Real Bed,,$600.00 ,,,$500.00 ,$150.00 ,1,$0.00 ,3,1125,1,100,10,10,10,10,10,10,WASHINGTON,f
3544550,2.01601E+13,04-01-2016,VIEW-Monthly Rental Available,16708587,Jill,12-06-2014,"Seattle, Washington, United States",within a few hours,67%,100%,f,Queen Anne,2,2,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63139735,-122.3677669,House,Entire home/apt,8,2.5,3,5,Real Bed,,$450.00 ,,,$500.00 ,$200.00 ,6,$50.00 ,4,1125,8,100,10,10,9,10,10,10,WASHINGTON,f
9025039,2.01601E+13,04-01-2016,Cute Bungalow-Close to Everything!,68155,Lori,06-01-2010,"Seattle, Washington, United States",within a few hours,100%,100%,f,Queen Anne,1,1,"West McGraw Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63875224,-122.3679727,House,Entire home/apt,5,1,2,3,Real Bed,,$150.00 ,,,$250.00 ,$35.00 ,1,$0.00 ,1,1125,0,,,,,,,,WASHINGTON,f
3200646,2.01601E+13,04-01-2016,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,30-10-2012,"Seattle, Washington, United States",within an hour,100%,100%,t,Queen Anne,5,5,"West Wheeler Street, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63926602,-122.3747258,Camper/RV,Private room,2,1,1,1,Real Bed,,$45.00 ,$360.00 ,,$150.00 ,$25.00 ,1,$0.00 ,2,7,80,95,10,10,10,10,9,9,WASHINGTON,f
8859380,2.01601E+13,04-01-2016,STUNNING VIEW of Puget Sound,3792761,Kimberly,07-10-2012,"Seattle, Washington, United States",within an hour,100%,100%,f,Queen Anne,5,5,"9th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.62990712,-122.3689481,Apartment,Entire home/apt,6,2,3,3,Real Bed,,$300.00 ,,,$500.00 ,$125.00 ,1,$0.00 ,2,1125,6,100,10,10,10,10,10,10,WASHINGTON,t
4520099,2.01601E+13,04-01-2016,Open Airy Queen Anne Condo,6184895,Lana,01-05-2013,"Seattle, Washington, United States",within an hour,71%,100%,f,Queen Anne,1,1,"14th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63981587,-122.3743385,Apartment,Entire home/apt,3,1,1,2,Real Bed,,$80.00 ,$500.00 ,,,$65.00 ,3,$50.00 ,2,1125,4,85,8,9,7,10,9,9,WASHINGTON,f
2481869,2.01601E+13,04-01-2016,Airy + Bright Queen Anne Cottage,5177328,Andrea,21-02-2013,"Seattle, Washington, United States",within an hour,98%,100%,t,Queen Anne,6,6,"7th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63900778,-122.3653201,Apartment,Entire home/apt,4,1,1,1,Real Bed,,$175.00 ,"$1,000.00 ","$3,200.00 ",,$40.00 ,1,$0.00 ,2,365,38,96,10,10,10,10,10,10,WASHINGTON,f
1110749,2.01601E+13,04-01-2016,Queen Anne 3 bed near everything,5325329,Blair,04-03-2013,"Seattle, Washington, United States",within a few hours,97%,100%,f,Queen Anne,9,9,"5th Avenue West, Seattle, WA 98119, United States",Queen Anne,West Queen Anne,Queen Anne,Seattle,WA,98119,Seattle,"Seattle, WA",US,United States,47.63508504,-122.3644435,House,Entire home/apt,6,1.5,3,3,Real Bed,,$325.00 ,,,$500.00 ,$100.00 ,6,$60.00 ,2,1125,68,92,9,9,10,9,10,9,WASHINGTON,f
